"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","fastGreedy_cluster","glay_cluster","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.4909090909090907","0.00384631485829224","0.28645833333333337","0.0","6","7","13","8","false","ZBTB16","68.8","0","6","1","0.9928215876342678","false","0","ZBTB16","309116","0.22156862745098038"
"4.650592885375494","0.0","0.21502634710181878","0.0","1","8","9","8","false","TCF12","28.0","0","1","0","0.9894795594081398","false","0","TCF12","0","0.0"
"4.650592885375494","0.0","0.21502634710181878","0.0","1","8","9","8","false","RUNX1T1","28.0","0","1","0","0.9894795594081398","false","0","RUNX1T1","0","0.0"
"4.650592885375494","0.0","0.21502634710181878","0.0","1","8","9","8","false","ZBTB6","28.0","0","1","0","0.9894795594081398","false","0","ZBTB6","0","0.0"
"4.877470355731226","0.0","0.20502431118314424","0.0","1","8","7","5","false","LY96","5.0","0","1","0","0.9888257338451549","false","0","LY96","0","0.0"
"3.8778656126482214","0.001955567491227841","0.25787381510549384","0.1","5","7","7","5","false","TLR4","37.0","0","5","0","0.9917064391566334","false","0","TLR4","204092","0.20449438202247192"
"4.143478260869565","0.0","0.24134312696747115","0.0","2","8","20","2","false","SAPS1","47.0","0","2","1","0.9909409848389925","false","0","SAPS1","0","0.0"
"3.1438735177865613","0.009056830298488907","0.31807895398541614","0.09805735430157261","58","7","20","2","false","NFKBIE","22.872340425531913","0","57","9","0.993821690150471","false","1","NFKBIE","986614","0.05884308510638298"
"4.143478260869565","0.0","0.24134312696747115","0.0","1","8","20","2","false","RP4-579N16.5","47.0","0","1","0","0.9909409848389925","false","0","RP4-579N16.5","0","0.0"
"4.143478260869565","0.0","0.24134312696747115","0.0","2","8","20","2","false","ANKRD28","47.0","0","2","1","0.9909409848389925","false","0","ANKRD28","0","0.0"
"5.322924901185771","0.0","0.18786663696443157","0.0","2","9","16","1","false","EPS8L1","7.0","0","2","1","0.9875420031666116","false","0","EPS8L1","0","0.0"
"4.323320158102767","0.0017584394297376067","0.2313037118303163","0.0","9","8","16","1","false","CD3E","5.571428571428571","0","9","2","0.99042270847809","false","0","CD3E","122240","0.17582417582417584"
"3.7545454545454544","0.0059613100860883735","0.26634382566585957","0.009523809523809525","22","7","7","1","false","NCK1","26.866666666666667","0","22","7","0.9920618286612523","false","0","NCK1","591912","0.08695652173913043"
"4.546640316205534","5.753863883954355E-5","0.21994262366339215","0.0","2","8","6","1","false","EPS8L3","29.5","0","2","0","0.9897791345354308","false","0","EPS8L3","4128","0.5181818181818182"
"5.322924901185771","0.0","0.18786663696443157","0.0","1","9","16","1","false","EPS8L2","7.0","0","1","0","0.9875420031666116","false","0","EPS8L2","0","0.0"
"4.491304347826087","2.3805018803240086E-4","0.22265246853823817","0.0","6","9","14","1","false","EPS8","11.166666666666666","0","6","0","0.9899386041849392","false","0","EPS8","15896","0.24796747967479674"
"3.956916996047431","4.125821131770582E-4","0.252722005793627","0.16666666666666666","4","7","15","1","false","NCK2","48.0","0","4","0","0.9914786253716212","false","0","NCK2","36802","0.32094594594594594"
"5.707509881422925","0.0","0.17520775623268697","0.0","3","10","10","6","false","FBN1","3.0","0","2","0","0.9864336891025276","false","1","FBN1","0","0.0"
"4.047826086956522","0.0","0.24704618689581095","0.0","1","8","12","2","false","PRKAB1","24.0","0","1","0","0.9912166395188572","false","0","PRKAB1","0","0.0"
"3.048221343873518","0.010663142851764961","0.32806016597510373","0.057971014492753624","24","7","12","2","false","MYH10","61.458333333333336","0","24","0","0.9940973448303356","false","0","MYH10","2438110","0.07765392781316348"
"5.6936758893280635","0.0","0.17563346060395696","0.0","1","9","17","4","false","USP22","4.0","0","1","0","0.9864735565149048","false","0","USP22","0","0.0"
"4.69407114624506","0.0023706037631459264","0.21303469181542606","0.0","4","8","17","4","false","DEDD","1.75","0","4","0","0.9893542618263831","false","0","DEDD","547758","0.25"
"5.6936758893280635","0.0","0.17563346060395696","0.0","1","9","17","4","false","RANBP3","4.0","0","1","0","0.9864735565149048","false","0","RANBP3","0","0.0"
"5.6936758893280635","0.0","0.17563346060395696","0.0","1","9","17","4","false","KHK","4.0","0","1","0","0.9864735565149048","false","0","KHK","0","0.0"
"3.696837944664032","0.0036154258904116288","0.2705014433871485","0.0","4","7","17","4","false","CCDC59","112.0","0","4","0","0.9922281327243112","false","0","CCDC59","871716","0.2674698795180723"
"5.509090909090909","0.0","0.18151815181518152","0.0","2","9","7","1","false","PGF","4.0","0","2","1","0.987005501702908","false","0","PGF","0","0.0"
"4.509486166007905","0.0010436891783369665","0.22175475501796826","0.0","5","8","7","1","false","FLT1","4.5","0","5","1","0.9898862070143865","false","0","FLT1","66810","0.25"
"4.525691699604743","0.0","0.22096069868995633","0.0","1","8","18","1","false","hA2aR","13.0","0","1","0","0.989839505188459","false","0","hA2aR","0","0.0"
"3.526086956521739","0.005520581642610887","0.2836004932182491","0.0","14","7","18","1","false","ACTN1","7.153846153846154","0","14","1","0.9927202104999373","false","0","ACTN1","217250","0.09768009768009768"
"4.525691699604743","0.0","0.22096069868995633","0.0","1","8","18","1","false","FXN","13.0","0","1","0","0.989839505188459","false","0","FXN","0","0.0"
"4.525691699604743","0.0","0.22096069868995633","0.0","1","8","18","1","false","ATXN2","13.0","0","1","0","0.989839505188459","false","0","ATXN2","0","0.0"
"4.525691699604743","0.0","0.22096069868995633","0.0","1","8","18","1","false","CAMK2A","13.0","0","1","0","0.989839505188459","false","0","CAMK2A","0","0.0"
"4.525691699604743","0.0","0.22096069868995633","0.0","1","8","18","1","false","XRCC4","13.0","0","1","0","0.989839505188459","false","0","XRCC4","0","0.0"
"3.401581027667984","0.006955896428278854","0.2939809435277713","0.02564102564102564","20","7","19","1","false","SRC","31.692307692307693","0","20","7","0.9930790172113314","false","0","SRC","455762","0.09748427672955975"
"4.525691699604743","0.0","0.22096069868995633","0.0","1","8","18","1","false","MYOZ1","13.0","0","1","0","0.989839505188459","false","0","MYOZ1","0","0.0"
"4.043083003952569","5.785856401734955E-5","0.24733600547463094","0.0","2","7","11","4","false","MAGEA11","14.5","0","2","0","0.991230308345958","false","0","MAGEA11","3322","0.5"
